expedition_id,peak_name,year,season,highpoint_date,termination_reason,highpoint_metres,members,member_deaths,hired_staff,hired_staff_deaths,oxygen_used,trekking_agency
ACHN15301,Aichyn,2015,Autumn,9/3/2015,Success (main peak),6055,5,0,0,0,FALSE,Cosmo Treks
ACHN15302,Aichyn,2015,Autumn,9/25/2015,Success (main peak),6055,9,0,2,0,FALSE,Yeti Adventure
ACHN18301,Aichyn,2018,Autumn,NA,Did not attempt climb,NA,8,0,1,0,FALSE,Himalayan Travellers Nepal
AMAD00101,Ama Dablam,2000,Spring,5/4/2000,Success (main peak),6814,5,0,0,0,FALSE,Nepal Sanctuary Treks
AMAD00102,Ama Dablam,2000,Spring,5/5/2000,Success (main peak),6814,5,0,2,0,FALSE,NA
AMAD00103,Ama Dablam,2000,Spring,5/15/2000,Success (main peak),6814,4,0,0,0,FALSE,High Country Trekking
AMAD00104,Ama Dablam,2000,Spring,4/19/2000,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6000,6,0,1,0,FALSE,Karnali Excursions
AMAD00105,Ama Dablam,2000,Spring,4/19/2000,"Route technically too difficult, lack of experience, strength, or motivation",6300,4,0,2,0,FALSE,Asian Trekking
AMAD00106,Ama Dablam,2000,Spring,5/1/2000,"Bad weather (storms, high winds)",6200,1,0,2,0,FALSE,Arun Treks
AMAD00107,Ama Dablam,2000,Spring,5/21/2000,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6400,4,0,2,0,FALSE,Numbur Himal Treks
AMAD00108,Ama Dablam,2000,Spring,4/26/2000,"Illness, AMS, exhaustion, or frostbite",6200,2,0,2,0,FALSE,Nima & Neema Treks
AMAD00109,Ama Dablam,2000,Spring,4/25/2000,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6400,6,0,0,0,FALSE,Asian Trekking
AMAD00110,Ama Dablam,2000,Spring,4/14/2000,"Bad weather (storms, high winds)",6280,8,0,3,0,TRUE,Wilderness Experience
AMAD00111,Ama Dablam,2000,Spring,4/11/2000,"Bad weather (storms, high winds)",6200,6,0,0,0,FALSE,Asian Trekking
AMAD00112,Ama Dablam,2000,Spring,4/23/2000,Lack of time,6400,3,0,2,0,FALSE,Great Escapes Trekking
AMAD00301,Ama Dablam,2000,Autumn,11/14/2000,Success (main peak),6814,6,0,2,0,FALSE,Sherpa Summit Treks
AMAD00302,Ama Dablam,2000,Autumn,10/30/2000,Success (main peak),6814,8,0,0,0,FALSE,Holiday Adventures
AMAD00303,Ama Dablam,2000,Autumn,11/11/2000,"Route technically too difficult, lack of experience, strength, or motivation",6250,2,0,0,0,FALSE,Langtang Ri Trekking
AMAD00304,Ama Dablam,2000,Autumn,10/13/2000,Success (main peak),6814,2,0,2,0,FALSE,Glacier Dome
AMAD00305,Ama Dablam,2000,Autumn,10/18/2000,Success (main peak),6814,9,0,0,0,FALSE,Thamserku Trekking
AMAD00306,Ama Dablam,2000,Autumn,10/20/2000,Success (main peak),6814,2,0,0,0,FALSE,Monterosa Treks
AMAD00307,Ama Dablam,2000,Autumn,10/9/2000,Success (main peak),6814,3,0,1,0,FALSE,Cosmo Treks
AMAD00308,Ama Dablam,2000,Autumn,10/19/2000,Success (main peak),6814,1,0,0,0,FALSE,Sailung Adventure Trekking
AMAD00309,Ama Dablam,2000,Autumn,10/19/2000,Success (main peak),6814,4,0,0,0,FALSE,Cho Oyu Trekking
AMAD00310,Ama Dablam,2000,Autumn,10/17/2000,Success (main peak),6814,4,0,2,0,FALSE,Cho Oyu Trekking
AMAD00311,Ama Dablam,2000,Autumn,10/13/2000,Success (main peak),6814,2,0,0,0,FALSE,Lali Gurans
AMAD00312,Ama Dablam,2000,Autumn,11/7/2000,Success (main peak),6814,4,0,0,0,FALSE,Cho Oyu Trekking
AMAD00313,Ama Dablam,2000,Autumn,10/19/2000,Success (main peak),6814,5,0,1,0,FALSE,Iceland Trekking
AMAD00314,Ama Dablam,2000,Autumn,10/15/2000,Success (main peak),6814,12,0,2,0,FALSE,International Trekkers (Intrek Asia)
AMAD00315,Ama Dablam,2000,Autumn,11/6/2000,Success (main peak),6814,11,0,1,0,FALSE,Asian Trekking
AMAD00316,Ama Dablam,2000,Autumn,11/12/2000,Success (main peak),6814,2,0,0,0,FALSE,Himalayan Treks (Him Treks)
AMAD00317,Ama Dablam,2000,Autumn,10/27/2000,Success (main peak),6814,1,0,0,0,FALSE,Cho Oyu Trekking
AMAD00318,Ama Dablam,2000,Autumn,10/29/2000,Success (main peak),6814,10,0,3,0,FALSE,High Country Trekking
AMAD00319,Ama Dablam,2000,Autumn,10/22/2000,Success (main peak),6814,4,0,3,0,FALSE,Great Escapes Trekking
AMAD00320,Ama Dablam,2000,Autumn,11/8/2000,Success (main peak),6814,1,0,0,0,FALSE,Himalayan Treks (Him Treks)
AMAD00321,Ama Dablam,2000,Autumn,10/18/2000,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6700,2,0,0,0,FALSE,Great Escapes Trekking
AMAD00322,Ama Dablam,2000,Autumn,10/26/2000,Success (main peak),6814,6,0,2,0,FALSE,Wilderness Experience
AMAD00323,Ama Dablam,2000,Autumn,10/16/2000,Success (main peak),6814,6,0,0,0,FALSE,Great Escapes Trekking
AMAD00324,Ama Dablam,2000,Autumn,10/24/2000,"Illness, AMS, exhaustion, or frostbite",6650,1,0,2,0,FALSE,Arun Treks
AMAD00325,Ama Dablam,2000,Autumn,10/21/2000,Success (main peak),6814,6,0,2,0,FALSE,Himalayan Sherpa Nepal
AMAD00401,Ama Dablam,2000,Winter,12/7/2000,Success (main peak),6814,8,0,2,0,TRUE,Himalayan Guides
AMAD00402,Ama Dablam,2000,Winter,12/5/2000,Success (main peak),6814,7,0,1,0,FALSE,Sarang San Treks
AMAD00403,Ama Dablam,2000,Winter,12/6/2000,Success (main peak),6814,13,0,3,0,FALSE,Himalayan Guides
AMAD01101,Ama Dablam,2001,Spring,4/1/2001,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6200,5,0,0,0,FALSE,Wilderness Experience
AMAD01102,Ama Dablam,2001,Spring,4/17/2001,"Illness, AMS, exhaustion, or frostbite",6100,3,0,1,0,FALSE,Wilderness Experience
AMAD01103,Ama Dablam,2001,Spring,4/25/2001,"Bad weather (storms, high winds)",6300,7,0,0,0,FALSE,Sea to Summit Trekking
AMAD01104,Ama Dablam,2001,Spring,4/28/2001,Success (main peak),6814,7,0,2,0,FALSE,Adventure Karnali
AMAD01105,Ama Dablam,2001,Spring,4/5/2001,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6600,1,0,4,0,FALSE,Himalayan Sherpa Adventure
AMAD01106,Ama Dablam,2001,Spring,5/3/2001,Success (main peak),6814,6,0,1,0,FALSE,Sea to Summit Trekking
AMAD01301,Ama Dablam,2001,Autumn,11/10/2001,Success (main peak),6814,8,0,0,0,FALSE,Arun Treks
AMAD01302,Ama Dablam,2001,Autumn,11/6/2001,Success (main peak),6814,5,0,1,0,FALSE,Nomad Expeditions
AMAD01303,Ama Dablam,2001,Autumn,10/18/2001,Success (main peak),6814,7,0,3,0,FALSE,Destination Nepal
AMAD01304,Ama Dablam,2001,Autumn,10/12/2001,Success (main peak),6814,6,0,2,0,FALSE,Himalayan Sherpa Adventure
AMAD01305,Ama Dablam,2001,Autumn,10/19/2001,Success (main peak),6814,6,0,3,0,FALSE,Highland Sherpa
AMAD01306,Ama Dablam,2001,Autumn,10/24/2001,Success (main peak),6814,2,0,2,0,FALSE,Mountain Madness
AMAD01307,Ama Dablam,2001,Autumn,10/17/2001,Success (main peak),6814,12,0,3,0,FALSE,Thamserku Trekking
AMAD01308,Ama Dablam,2001,Autumn,11/4/2001,Success (main peak),6814,3,0,0,0,FALSE,Himalayan Guides
AMAD01309,Ama Dablam,2001,Autumn,10/28/2001,Success (main peak),6814,3,0,1,0,FALSE,Wilderness Experience
AMAD01310,Ama Dablam,2001,Autumn,10/18/2001,Success (main peak),6814,7,0,1,0,FALSE,Iceland Trekking
AMAD01311,Ama Dablam,2001,Autumn,10/18/2001,Success (main peak),6814,15,0,4,0,FALSE,Everest Parivar
AMAD01312,Ama Dablam,2001,Autumn,10/31/2001,Success (main peak),6814,5,0,0,0,FALSE,Edelweiss Trekking
AMAD01313,Ama Dablam,2001,Autumn,11/1/2001,Success (main peak),6814,7,0,1,0,FALSE,Sherpa & Swiss Adventures
AMAD01314,Ama Dablam,2001,Autumn,11/6/2001,Success (main peak),6814,6,0,0,0,FALSE,Cho Oyu Trekking
AMAD01315,Ama Dablam,2001,Autumn,9/28/2001,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6100,4,0,1,0,FALSE,Trekking International
AMAD01316,Ama Dablam,2001,Autumn,11/15/2001,Lack of time,6200,6,0,0,0,FALSE,Himalayan High Country Treks
AMAD01317,Ama Dablam,2001,Autumn,10/26/2001,Success (main peak),6814,3,0,3,0,FALSE,Arun Treks
AMAD01401,Ama Dablam,2001,Winter,12/7/2001,Success (main peak),6814,8,0,2,0,FALSE,Summit Nepal Trekking
AMAD01402,Ama Dablam,2001,Winter,12/7/2001,"Route technically too difficult, lack of experience, strength, or motivation",6500,4,0,0,0,FALSE,Trans Himalayan Trekking (THT)
AMAD02101,Ama Dablam,2002,Spring,4/14/2002,"Bad weather (storms, high winds)",6150,3,0,0,0,FALSE,Asian Trekking
AMAD02102,Ama Dablam,2002,Spring,4/21/2002,"Route technically too difficult, lack of experience, strength, or motivation",6500,7,0,2,0,FALSE,Holiday Mountain Treks
AMAD02103,Ama Dablam,2002,Spring,4/25/2002,Success (main peak),6814,3,0,1,0,FALSE,Global Adventure Trekking
AMAD02104,Ama Dablam,2002,Spring,4/25/2002,Lack (or loss) of supplies or equipment,5900,3,0,0,0,FALSE,Ramdung Expedition
AMAD02301,Ama Dablam,2002,Autumn,11/17/2002,Success (main peak),6814,5,0,0,0,FALSE,Sherpa & Swiss Adventures
AMAD02302,Ama Dablam,2002,Autumn,11/7/2002,Success (main peak),6814,8,0,2,0,FALSE,Khumbu Himalayan Trekking
AMAD02303,Ama Dablam,2002,Autumn,10/20/2002,Success (main peak),6814,11,0,2,0,FALSE,Nomad Expeditions
AMAD02304,Ama Dablam,2002,Autumn,11/10/2002,Success (main peak),6814,4,0,0,0,FALSE,Himalayan Garden Treks
AMAD02305,Ama Dablam,2002,Autumn,10/23/2002,Success (main peak),6814,7,0,2,0,FALSE,Sherpa & Swiss Adventures
AMAD02306,Ama Dablam,2002,Autumn,10/20/2002,Success (main peak),6814,12,0,2,0,FALSE,Thamserku Trekking
AMAD02307,Ama Dablam,2002,Autumn,10/18/2002,Other,5900,2,0,1,0,FALSE,Asian Trekking
AMAD02308,Ama Dablam,2002,Autumn,11/1/2002,Success (main peak),6814,2,0,0,0,FALSE,Iceland Trekking
AMAD02309,Ama Dablam,2002,Autumn,11/8/2002,Success (main peak),6814,7,0,2,0,FALSE,Sherpa Trekking Service (STS)
AMAD02310,Ama Dablam,2002,Autumn,11/4/2002,Success (main peak),6814,12,0,1,0,FALSE,Asian Trekking
AMAD02311,Ama Dablam,2002,Autumn,10/31/2002,Success (main peak),6814,3,0,1,0,FALSE,Mountain Madness
AMAD02312,Ama Dablam,2002,Autumn,11/22/2002,Success (main peak),6814,2,0,3,0,FALSE,Windhorse Trekking
AMAD02313,Ama Dablam,2002,Autumn,11/2/2002,Success (main peak),6814,5,0,1,0,FALSE,Wilderness Experience
AMAD02314,Ama Dablam,2002,Autumn,10/20/2002,Success (main peak),6814,3,0,3,0,FALSE,Trekking & Mountaineering Services
AMAD02315,Ama Dablam,2002,Autumn,10/23/2002,Success (main peak),6814,3,0,3,0,FALSE,Iceland Trekking
AMAD02316,Ama Dablam,2002,Autumn,10/18/2002,Lack of time,6350,1,0,0,0,FALSE,Himalayan Guides
AMAD02317,Ama Dablam,2002,Autumn,11/16/2002,Success (main peak),6814,2,0,1,0,FALSE,Wilderness Experience
AMAD02318,Ama Dablam,2002,Autumn,11/12/2002,Success (main peak),6814,6,0,3,0,FALSE,Peak Promotion
AMAD02319,Ama Dablam,2002,Autumn,10/5/2002,"Illness, AMS, exhaustion, or frostbite",6000,3,0,2,0,FALSE,Arun Treks
AMAD02320,Ama Dablam,2002,Autumn,10/31/2002,Success (main peak),6814,17,0,3,0,FALSE,Himalayan Guides
AMAD02321,Ama Dablam,2002,Autumn,10/21/2002,Success (main peak),6814,25,0,6,0,FALSE,Everest Parivar
AMAD02401,Ama Dablam,2002,Winter,12/2/2002,Success (main peak),6814,2,0,2,0,FALSE,Iceland Trekking
AMAD02402,Ama Dablam,2002,Winter,1/4/2003,Lack (or loss) of supplies or equipment,6000,3,0,1,0,FALSE,Ang Rita Treks
AMAD02403,Ama Dablam,2002,Winter,12/4/2002,Success (main peak),6814,7,0,2,0,FALSE,Sherpa Shangri-La Trekking
AMAD02404,Ama Dablam,2002,Winter,12/4/2002,Success (main peak),6814,6,0,3,0,FALSE,Summit Nepal Trekking
AMAD02405,Ama Dablam,2002,Winter,11/29/2002,Success (main peak),6814,3,0,0,0,FALSE,Thamserku Trekking
AMAD03101,Ama Dablam,2003,Spring,5/20/2003,Success (main peak),6814,5,0,0,0,FALSE,Windhorse Trekking
AMAD03102,Ama Dablam,2003,Spring,5/13/2003,Success (main peak),6814,5,0,0,0,FALSE,Cho Oyu Trekking
AMAD03103,Ama Dablam,2003,Spring,5/11/2003,Success (main peak),6814,2,0,0,0,FALSE,Asian Trekking
AMAD03104,Ama Dablam,2003,Spring,4/29/2003,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6100,4,0,1,0,FALSE,Asian Trekking
AMAD03105,Ama Dablam,2003,Spring,5/10/2003,Success (main peak),6814,5,0,1,0,FALSE,Iceland Trekking
AMAD03106,Ama Dablam,2003,Spring,4/21/2003,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6450,3,0,0,0,FALSE,Arun Treks
AMAD03107,Ama Dablam,2003,Spring,5/14/2003,Success (main peak),6814,4,0,3,0,FALSE,Su-Swagatam Treks
AMAD03108,Ama Dablam,2003,Spring,5/11/2003,Success (main peak),6814,8,0,1,0,FALSE,Independent Himalayan Adventure
AMAD03301,Ama Dablam,2003,Autumn,10/17/2003,Success (main peak),6814,6,0,0,0,FALSE,Khumbu Himalayan Trekking
AMAD03302,Ama Dablam,2003,Autumn,11/12/2003,Success (main peak),6814,6,0,0,0,FALSE,Royal Mountain Travel
AMAD03303,Ama Dablam,2003,Autumn,11/12/2003,Success (main peak),6814,9,0,0,0,FALSE,Himalaya Expeditions
AMAD03304,Ama Dablam,2003,Autumn,10/11/2003,Accident (death or serious injury),5800,2,0,2,0,FALSE,Asian Trekking
AMAD03305,Ama Dablam,2003,Autumn,10/17/2003,Success (main peak),6814,5,0,2,0,FALSE,International Trekkers (Intrek Asia)
AMAD03306,Ama Dablam,2003,Autumn,10/22/2003,Success (main peak),6814,8,0,1,0,FALSE,Asian Trekking
AMAD03307,Ama Dablam,2003,Autumn,10/18/2003,Success (main peak),6814,11,1,2,0,FALSE,Thamserku Trekking
AMAD03308,Ama Dablam,2003,Autumn,11/23/2003,Success (main peak),6814,3,0,1,0,FALSE,Thamserku Trekking
AMAD03309,Ama Dablam,2003,Autumn,11/26/2003,Success (main peak),6814,5,0,3,0,FALSE,Himalayan Guides
AMAD03310,Ama Dablam,2003,Autumn,12/1/2003,Success (main peak),6814,4,0,2,0,FALSE,Sherpa Shangri-La Trekking
AMAD03311,Ama Dablam,2003,Autumn,11/5/2003,"Bad weather (storms, high winds)",6200,1,0,0,0,FALSE,Himalayan Guides
AMAD03312,Ama Dablam,2003,Autumn,11/14/2003,Success (main peak),6814,12,0,4,0,FALSE,Hyecho Adventure Trekking
AMAD03313,Ama Dablam,2003,Autumn,11/11/2003,Success (main peak),6814,4,0,0,0,FALSE,Nomad Expeditions
AMAD03314,Ama Dablam,2003,Autumn,11/9/2003,Success (main peak),6814,9,0,0,0,FALSE,Asian Trekking
AMAD03315,Ama Dablam,2003,Autumn,10/15/2003,"Route technically too difficult, lack of experience, strength, or motivation",5800,1,0,1,0,FALSE,Himalayan Guides
AMAD03316,Ama Dablam,2003,Autumn,11/10/2003,Success (main peak),6814,5,0,2,0,FALSE,Great Escapes Trekking
AMAD03317,Ama Dablam,2003,Autumn,11/2/2003,Success (main peak),6814,1,0,1,0,FALSE,Himalayan Guides
AMAD03318,Ama Dablam,2003,Autumn,11/7/2003,Success (main peak),6814,3,0,2,0,FALSE,Cosmo Treks
AMAD03319,Ama Dablam,2003,Autumn,10/17/2003,Success (main peak),6814,3,0,0,0,FALSE,Sherpa Shangri-La Trekking
AMAD03320,Ama Dablam,2003,Autumn,11/8/2003,Success (main peak),6814,8,0,5,0,FALSE,Rolwaling Treks
AMAD03321,Ama Dablam,2003,Autumn,11/3/2003,Success (main peak),6814,9,0,5,0,FALSE,Himalayan Guides
AMAD03322,Ama Dablam,2003,Autumn,10/18/2003,Success (main peak),6814,5,0,2,0,FALSE,Asian Trekking
AMAD03323,Ama Dablam,2003,Autumn,11/4/2003,Success (main peak),6814,3,0,2,0,FALSE,Mountain Madness
AMAD03324,Ama Dablam,2003,Autumn,10/11/2003,Lack of time,5600,2,0,0,0,FALSE,Sherpa Shangri-La Trekking
AMAD03325,Ama Dablam,2003,Autumn,10/18/2003,Success (main peak),6814,4,0,0,0,FALSE,Sherpa High Ambitions
AMAD03326,Ama Dablam,2003,Autumn,10/20/2003,Success (main peak),6814,3,0,2,0,FALSE,Great Escapes Trekking
AMAD03327,Ama Dablam,2003,Autumn,11/1/2003,Success (main peak),6814,3,0,3,0,FALSE,Arun Treks
AMAD03328,Ama Dablam,2003,Autumn,10/20/2003,Success (main peak),6814,24,0,8,0,FALSE,Everest Parivar
AMAD03401,Ama Dablam,2003,Winter,1/20/2004,Success (main peak),6814,6,0,4,0,FALSE,Ang Rita Treks
AMAD03402,Ama Dablam,2003,Winter,12/6/2003,Success (main peak),6814,7,0,3,0,FALSE,Summit Nepal Trekking
AMAD03403,Ama Dablam,2003,Winter,12/20/2003,Success (main peak),6814,3,0,1,0,FALSE,Thamserku Trekking
AMAD04101,Ama Dablam,2004,Spring,3/30/2004,"Route technically too difficult, lack of experience, strength, or motivation",6700,5,0,2,0,FALSE,Sea to Summit Trekking
AMAD04102,Ama Dablam,2004,Spring,4/14/2004,Lack (or loss) of supplies or equipment,6100,1,0,2,0,FALSE,Cultural Treks
AMAD04103,Ama Dablam,2004,Spring,4/21/2004,Success (main peak),6814,1,0,1,0,FALSE,Monterosa Treks
AMAD04104,Ama Dablam,2004,Spring,4/21/2004,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6200,3,0,0,0,FALSE,Ang Rita Treks
AMAD04105,Ama Dablam,2004,Spring,4/14/2004,Success (main peak),6814,4,0,1,0,FALSE,Thamserku Trekking
AMAD04106,Ama Dablam,2004,Spring,4/22/2004,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6200,2,0,0,0,FALSE,Ang Rita Treks
AMAD04107,Ama Dablam,2004,Spring,5/8/2004,Accident (death or serious injury),5750,1,0,1,0,FALSE,Sherpa Shangri-La Trekking
AMAD04108,Ama Dablam,2004,Spring,5/1/2004,"Bad weather (storms, high winds)",6300,4,0,0,0,FALSE,Royal Mountain Travel
AMAD04109,Ama Dablam,2004,Spring,5/14/2004,Success (main peak),6814,6,0,0,0,FALSE,Khumbi-ila Mt. & Trekking
AMAD04110,Ama Dablam,2004,Spring,3/14/2004,Success (main peak),6814,21,0,0,0,FALSE,Asian Trekking
AMAD04301,Ama Dablam,2004,Autumn,10/19/2004,Success (main peak),6814,1,0,0,0,FALSE,Monterosa Treks
AMAD04302,Ama Dablam,2004,Autumn,10/27/2004,"Illness, AMS, exhaustion, or frostbite",5940,4,0,0,0,FALSE,Mountain Madness
AMAD04303,Ama Dablam,2004,Autumn,10/18/2004,Success (main peak),6814,2,0,2,0,FALSE,Asian Trekking
AMAD04304,Ama Dablam,2004,Autumn,10/26/2004,Success (main peak),6814,4,0,3,0,FALSE,Sherpa Alpine Trekking
AMAD04305,Ama Dablam,2004,Autumn,10/30/2004,Success (main peak),6814,8,0,0,0,FALSE,Nomad Expeditions
AMAD04306,Ama Dablam,2004,Autumn,10/27/2004,Success (main peak),6814,9,0,0,0,FALSE,Wilderness Experience
AMAD04307,Ama Dablam,2004,Autumn,10/18/2004,Success (main peak),6814,7,0,1,0,FALSE,Great Escapes Trekking
AMAD04308,Ama Dablam,2004,Autumn,10/22/2004,Success (main peak),6814,2,0,0,0,FALSE,Thamserku Trekking
AMAD04309,Ama Dablam,2004,Autumn,10/21/2004,Success (main peak),6814,2,0,0,0,FALSE,Cho Oyu Trekking
AMAD04310,Ama Dablam,2004,Autumn,10/21/2004,Success (main peak),6814,1,0,1,0,FALSE,Cho Oyu Trekking
AMAD04311,Ama Dablam,2004,Autumn,10/22/2004,Success (main peak),6814,4,0,0,0,FALSE,Monterosa Treks
AMAD04312,Ama Dablam,2004,Autumn,11/2/2004,Success (main peak),6814,6,0,2,0,FALSE,Royal Orchid Treks
AMAD04313,Ama Dablam,2004,Autumn,11/4/2004,Success (main peak),6814,5,0,3,0,FALSE,Arun Treks
AMAD04314,Ama Dablam,2004,Autumn,10/22/2004,Success (main peak),6814,4,0,0,0,FALSE,Thamserku Trekking
AMAD04315,Ama Dablam,2004,Autumn,10/21/2004,"Route technically too difficult, lack of experience, strength, or motivation",5400,3,0,0,0,FALSE,Summit Nepal Trekking
AMAD04316,Ama Dablam,2004,Autumn,10/21/2004,Success (main peak),6814,8,0,3,0,FALSE,Iceland Trekking (Dorje)
AMAD04317,Ama Dablam,2004,Autumn,9/24/2004,"Bad weather (storms, high winds)",6250,6,0,2,0,FALSE,Hyecho Adventure Trekking
AMAD04318,Ama Dablam,2004,Autumn,11/10/2004,"Illness, AMS, exhaustion, or frostbite",6150,1,0,1,0,FALSE,High Country Trekking
AMAD04319,Ama Dablam,2004,Autumn,10/19/2004,Success (main peak),6814,5,0,2,0,FALSE,International Trekkers (Intrek Asia)
AMAD04320,Ama Dablam,2004,Autumn,10/21/2004,Success (main peak),6814,8,0,4,0,FALSE,Churen Himal Treks
AMAD04321,Ama Dablam,2004,Autumn,10/18/2004,Success (main peak),6814,9,0,2,0,FALSE,Thamserku Trekking
AMAD04322,Ama Dablam,2004,Autumn,10/25/2004,Success (main peak),6814,2,0,0,0,FALSE,Asian Trekking
AMAD04323,Ama Dablam,2004,Autumn,11/15/2004,Success (main peak),6814,1,0,1,0,FALSE,Himalayan High Country Treks
AMAD04324,Ama Dablam,2004,Autumn,10/20/2004,"Illness, AMS, exhaustion, or frostbite",6200,1,0,1,0,FALSE,Thamserku Trekking
AMAD04325,Ama Dablam,2004,Autumn,10/27/2004,Success (main peak),6814,3,0,1,0,FALSE,Mila Adventure
AMAD04326,Ama Dablam,2004,Autumn,11/26/2004,Success (main peak),6814,6,0,2,0,TRUE,Peak Promotion
AMAD04327,Ama Dablam,2004,Autumn,10/19/2004,Success (main peak),6814,6,0,1,0,FALSE,Thamserku Trekking
AMAD04328,Ama Dablam,2004,Autumn,10/26/2004,Success (main peak),6814,30,0,2,0,FALSE,Himalayan Guides
AMAD04329,Ama Dablam,2004,Autumn,11/22/2004,Success (main peak),6814,7,0,0,0,FALSE,Thamserku Trekking
AMAD04330,Ama Dablam,2004,Autumn,11/22/2004,Success (main peak),6814,7,0,3,0,FALSE,Hyecho Adventure Trekking
AMAD04331,Ama Dablam,2004,Autumn,11/1/2004,Success (main peak),6814,15,0,3,0,FALSE,Himalaya Expeditions
AMAD04332,Ama Dablam,2004,Autumn,11/2/2004,Success (main peak),6814,12,0,4,0,TRUE,Himalayan Guides
AMAD04333,Ama Dablam,2004,Autumn,10/29/2004,Success (main peak),6814,9,0,0,0,FALSE,Iceland Trekking (Tendi)
AMAD04334,Ama Dablam,2004,Autumn,11/29/2004,Success (main peak),6814,3,0,1,0,FALSE,Sherpa Shangri-La Trekking
AMAD04335,Ama Dablam,2004,Autumn,10/17/2004,Success (main peak),6814,4,0,0,0,FALSE,Sherpa Alpine Trekking
