peak_name,height_metres,climbing_status,first_ascent_year,first_ascent_country
Ama Dablam,6814,Climbed,1961,"New Zealand, USA, UK"
Amphu Gyabjen,5630,Climbed,1953,UK
Annapurna I,8091,Climbed,1950,France
Annapurna II,7937,Climbed,1960,"UK, Nepal"
Annapurna III,7555,Climbed,1961,India
Annapurna IV,7525,Climbed,1955,W Germany
Annapurna I East,8026,Climbed,1974,Spain
Annapurna I Middle,8051,Climbed,1980,W Germany
Annapurna South,7219,Climbed,1964,"Japan, Nepal"
Api Main,7132,Climbed,1960,"Japan, Nepal"
Api West,7076,Unclimbed,NA,NA
Baruntse,7152,Climbed,1954,New Zealand
Baudha,6672,Climbed,1970,Japan
Bhemdang Ri,6150,Climbed,1964,"Japan, Nepal"
Bhrikuti,6476,Climbed,1982,"Japan, Nepal"
Bobaye,6808,Climbed,1996,Slovenia
Chamlang,7321,Climbed,1962,"Japan, Nepal"
Changla,6563,Climbed,2010,Japan
Chamar North,7165,Climbed,1953,"New Zealand, Nepal"
Cheo Himal,6820,Climbed,1991,"Japan, Nepal"
Cho Oyu,8188,Climbed,1954,"Austria, Nepal"
Chobuje,6686,Climbed,1972,W Germany
Cholatse,6423,Climbed,1982,"USA, UK"
Cho Polu,6700,Climbed,1984,Spain
Chulu Central,6584,Climbed,1955,W Germany
Chukyima Go,6258,Climbed,2014,Slovenia
Churen Himal Central,7385,Climbed,1970,Japan
Chulu West,6419,Climbed,1952,Japan
Taple Shikhar,6447,Climbed,1998,"Japan, Nepal"
Changtse,7583,Climbed,1982,W Germany
Dhaulagiri I,8167,Climbed,1960,"Switzerland, Austria, W Germany, Nepal"
Dhaulagiri II,7751,Climbed,1971,"Austria, USA, Nepal"
Dhaulagiri III,7715,Climbed,1973,W Germany
Dhaulagiri IV,7661,Climbed,1975,Japan
Dhaulagiri V,7618,Climbed,1975,"Japan, Nepal"
Dhaulagiri VI,7268,Climbed,1970,Japan
Dhampus,6012,Climbed,1960,Austria
Dogari,6536,Unclimbed,NA,NA
Pemthang Karpo Ri,6865,Climbed,1955,"Switzerland, Nepal"
Dorje Lhakpa,6966,Climbed,1981,"Japan, Nepal"
Drangnag Ri,6757,Climbed,1995,"Norway, UK, Nepal"
Drohmo,6881,Unclimbed,NA,NA
Everest,8850,Climbed,1953,"New Zealand, India"
Fang,7647,Climbed,1980,"Austria, Nepal"
Firnkopf,6730,Unclimbed,NA,NA
Firnkopf West,6745,Climbed,1987,"Austria, W Germany, Nepal"
Gama Peak,7187,Climbed,1970,Japan
Ganesh I,7422,Climbed,1955,"Switzerland, France"
Ganesh III,7043,Climbed,1979,"Japan, Nepal"
Ganesh II,7118,Climbed,1981,"W Germany, Nepal"
Ganesh IV,7104,Climbed,1978,"Japan, Nepal"
Ganesh V,6770,Climbed,1980,"Japan, Nepal"
Ganesh VI,6908,Climbed,2000,Japan
Ganchenpo,6378,Climbed,1971,USA
Gandharva Chuli,6248,Climbed,2013,Romania
Gangapurna,7455,Climbed,1965,"W Germany, Nepal"
Gaurishankar,7135,Climbed,1979,"US, Nepal"
Ghustang North,6529,Climbed,1962,"UK, Nepal"
Ghustang South,6465,Climbed,2019,"France, Canada, Switzerland, Nepal"
Matathumba,5767,Climbed,1961,"UK, Nepal"
Ghyuthumba Main,5806,Climbed,1953,"Austria, Nepal, India"
Gimmigela Chuli East,7007,Climbed,1993,"Japan, Nepal"
Gimmigela Chuli,7350,Climbed,1994,"Japan, Nepal"
Glacier Dome,7168,Climbed,1964,"Japan, Nepal"
Gurja Himal,7193,Climbed,1969,"Japan, Nepal"
Gurkarpo Ri,6889,Climbed,2007,France
Gyachung Kang,7861,Climbed,1964,"Japan, Nepal"
Gyajikang,7074,Climbed,1994,"Japan, Nepal"
Leonpo Gang East,6733,Climbed,1955,"UK, Nepal"
Himalchuli East,7893,Climbed,1960,Japan
Himlung Himal,7126,Climbed,1992,"Japan, Nepal"
Himalchuli North,7331,Climbed,1985,"S Korea, Nepal"
Rani Peak,6693,Climbed,1970,"Netherlands, Nepal"
Himalchuli West,7540,Climbed,1978,Japan
Hiunchuli,6434,Climbed,1971,USA
Hongku Chuli,6833,Unclimbed,NA,NA
Hongde,6556,Climbed,1962,"Japan, Nepal"
Imjatse,6165,Climbed,1956,"Switzerland, Nepal"
Jagdula,5761,Climbed,2013,France
Jannu,7711,Climbed,1962,"France, Nepal"
Jethi Bahurani,6850,Climbed,1978,Japan
